,country_name,population,population_male,population_female,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,infant_mortality_rate,health_expenditure_usd,human_capital_index,life_expectancy
123,Libya,6871287,3468737,3402550,272366406647.0152,15880.174133558749,27.0,17.0,566358.0693333333,15.000253592561284,1278.5230075883837,0.5989332264957266,75.85615345773456
124,Liechtenstein,38378,19025,19353,618004684413.1334,67868.40952380953,47.145,9.553889,88265.02222222222,2.8175824175824173,3974.8412568516483,0.7628831168831168,81.98131307692309
125,Lithuania,2794184,1295591,1498593,53411968400.0,19116.0,55.2,24.0,65286.0,3.3,1078.179199,0.712,76.0
126,Luxembourg,613894,308720,305174,70862634400.0,116348.0,49.77,6.13,2590.0,1.9,5782.628418,0.692,82.3
127,Macau,649342,312100,337242,1595581713197.2935,15766.93912911546,22.166667,113.55,979512.7448888889,18.504112554112552,407.70597567237314,0.608347498655191,74.32552861381475
128,Macedonia,2077132,1040200,1036932,282179091692.013,21440.584112924113,7.0,10.0,1214591.889382716,18.145371533228676,1568.5288980316711,0.5935544490231991,74.90119881311075
129,Madagascar,27691019,13814619,13876400,21703185691.923077,3851.3846153846152,-20.0,47.0,319992.8,37.38461538461539,200.89714007692308,0.4472307692307692,64.65083107692307
130,Malawi,19129955,9434037,9695918,7666704427.0,411.0,-13.0,34.0,118480.0,35.3,32.259384,0.407,63.798
131,Malaysia,32655400,16771000,15884400,364701517787.0,11414.0,3.780511,102.314362,330345.0,6.7,384.066071,0.622,75.997
132,Maldives,540542,342928,197614,432393299036.94586,9039.790468139918,4.18,73.51,571038.9953128748,27.439248327430146,368.88205869465753,0.5242692330680496,71.29308162858338
133,Mali,20250834,10145174,10105660,17510141171.0,890.0,17.0,-4.0,1240190.0,62.0,31.378105,0.317,58.893
134,Malta,493559,251836,241723,14606972200.0,30090.0,35.883333,14.5,320.0,6.1,2585.563965,0.701,82.5
135,Marshall Islands,59194,28373,27502,50982769586.66694,6685.371153846154,9.82,169.29,40323.3195654321,25.048348794063084,447.549989535436,0.4930938775510204,69.6883335227874
136,Martinique,375265,172607,202658,9682128260.01888,17644.694077134987,14.65,-61.015,5562.272221234569,15.04259595959596,653.7598957984053,0.5744916666666666,75.38979675732324
137,Mauritania,4649660,2334981,2314679,7593752450.0,1677.0,21.0,-11.0,1030700.0,51.5,48.817131,0.353,64.704
138,Mauritius,1271767,627480,644287,14180444557.0,11203.0,-20.2,57.5,2040.0,13.6,599.699768,0.626,74.416341
139,Mayotte,272813,134159,138654,21699609043.840237,3487.7988165680476,-12.843056,45.138333,264977.98666666663,35.191124260355025,176.16245362130172,0.44971005917159756,65.03058731360946
140,Mexico,110991953,54855231,57481307,1258286717124.0,9863.0,23.0,-102.0,1964375.0,11.0,494.677643,0.607,74.992
141,Micronesia,115021,58480,56541,596759448432.1165,12463.732692307693,12.0,152.0,95825.80352658436,21.60736239950526,1014.735466552953,0.5785818594104309,72.34655213409692
142,Moldova,4033963,1931953,2102010,11955435456.0,4498.0,47.25,28.516667,33850.0,13.6,191.185776,0.58,71.808
143,Monaco,39244,11648,12406,631376770109.1818,60688.55565862708,43.731111,7.42,96298.1525925926,2.9397252747252742,3853.031483394505,0.745275974025974,81.84376510848126
144,Mongolia,3278292,1615039,1663253,13852850259.0,4295.0,47.0,104.0,1564120.0,14.0,148.784454,0.626,69.689
145,Montenegro,622182,307712,314470,253542593373.4438,18646.745562130178,42.766667,19.216667,87649.736,3.857396449704143,1366.61830369697,0.6925486111111111,78.72962710059173
146,Montserrat,4999,2667,2678,16422828023.935545,18944.444077134984,16.75,-62.2,6107.223702650207,14.906855555555557,606.726717878246,0.5667899999999999,75.88196560347707
147,Morocco,36910558,18316887,18593671,118725279596.0,3204.0,32.0,-6.0,446550.0,19.2,161.010864,0.5,76.453
148,Mozambique,31255435,15188235,16067200,14934159925.0,491.0,-19.0,35.0,786380.0,54.0,21.071156,0.361,60.163
149,Myanmar,54409794,26220190,28189604,76085852617.0,1407.0,22.0,96.0,676590.0,36.8,58.043957,0.473,66.867
150,Namibia,2540916,1231683,1309233,12366527719.0,4957.0,-23.0,17.0,824290.0,29.0,447.28064,0.435,63.373
151,Nauru,10834,4785,5460,114326294796.25333,6250.86888111888,-0.533333,166.933333,50549.26110489986,24.471595266205657,483.48421808892596,0.502592542202066,71.3384647361971
152,Nepal,29136808,13348435,15788373,30641380604.0,1071.0,28.0,84.0,147180.0,26.7,47.915363,0.49,70.478
153,Netherlands,17282163,8581086,8701077,913366020000.0,52982.0,52.316667,5.55,41540.0,3.3,4911.44043,0.8,81.9
154,Netherlands Antilles,197041,98520,98520,20732853513.661823,19989.50908520384,15.0,-66.0,16237.897051935255,16.03474057457694,599.8001484959769,0.5380283333333332,75.90360109634968
155,New Caledonia,285491,143498,141993,32304536171.832767,7399.617625556261,-21.25,165.3,57128.12363909209,21.790182129951905,610.037682287676,0.5120106827916351,72.15052382287939
156,New Zealand,4822233,2370163,2452070,206928765543.0,42084.0,-41.2,174.0,267710.0,4.7,3937.221924,0.767,81.858537
157,Nicaragua,6624554,3264849,3359705,12520915291.0,1912.0,13.0,-85.0,130370.0,15.7,192.083389,0.531,74.275
158,Niger,24206636,12170165,12036471,12928145120.0,554.0,17.0,10.0,1267000.0,48.0,29.26165,0.316,62.024
159,Nigeria,206139587,104469637,101669950,448120428858.0,2229.0,9.0,8.0,923770.0,75.7,73.92498,0.342,54.332
160,Niue,1618,688,703,27730799031.25031,8766.157157878852,-19.05,-169.916667,26440.214455610254,19.870845252382765,750.0710881562286,0.5408139254220207,72.72490192329323
161,Norfolk Island,2188,938,1124,148575130315.60364,12330.714055379502,-29.033333,167.949722,546615.3461787389,17.104419234317135,1097.4554855506951,0.5557210396481825,73.79565343616781
162,North Korea,25778815,12608379,13170436,2091969291233.801,14040.024782045446,40.0,127.0,2159439.003437037,16.757555777555776,823.8083212870621,0.64209156228387,73.99819486191464
163,Northern Mariana Islands,57557,22286,19704,928301719139.7659,14940.644657445657,16.705,145.78,310666.9129533747,18.902414565953524,1048.4503868530626,0.5928282809271487,73.35920857050597
164,Norway,5328212,2685073,2643139,403336363636.0,75419.0,65.0,11.0,625217.0,2.1,7936.375,0.771,82.8
165,Oman,5106622,3370230,1736392,76983094928.0,15474.0,21.0,57.0,309500.0,9.8,587.646301,0.622,77.633
166,Pakistan,220892331,113672007,107220324,278221906022.0,1284.0,30.0,71.0,796100.0,57.2,44.592964,0.389,67.114
167,Palau,18092,14679,13759,998946397468.5265,14447.25326215645,7.466667,134.55,412523.41564681206,19.73725988838002,933.2720752880414,0.6074167675887009,73.65502729023852
168,Palestine,5101416,2586971,2514445,282179091692.013,21440.584112924113,7.0,10.0,1214591.889382716,18.145371533228676,1568.5288980316711,0.5935544490231991,74.90119881311075
169,Panama,4314768,2159880,2154888,64152147111.957306,9520.237992644394,8.616667,-80.366667,159782.54704285323,17.637230419153493,448.24803891754675,0.5274479797979799,74.67551464941583
170,Papua New Guinea,8947027,4568072,4378955,24969611434.0,2845.0,-6.3,147.0,462840.0,38.0,61.45784,0.384,64.263
171,Paraguay,7132530,3624360,3508170,38145288939.0,5414.0,-23.5,-58.0,406751.0,17.2,381.113068,0.533,74.131
172,Peru,29381884,14450757,14931127,226848050819.0,6977.0,-9.4,-76.0,1285220.0,11.1,332.570923,0.586,76.516
173,Philippines,100979303,51069962,49909341,376795508679.0,3485.0,12.0,123.0,300000.0,22.5,132.900986,0.548,71.095
174,Pitcairn Islands,50,25,25,79757890585.89787,10607.081860364122,-25.067781,-130.104578,196080.2435886274,15.630365011079865,910.4786652614803,0.5729694124089796,74.52164097904671
175,Poland,37972812,18380376,19592436,585705873800.0,15222.0,52.0,19.0,312680.0,3.8,906.820129,0.747,77.7
176,Portugal,10276617,4852366,5424251,240597516000.0,23364.0,38.7,-9.183333,92225.0,3.1,1908.033936,0.776,81.5
177,Puerto Rico,2860840,1355518,1505322,24193684337.344303,19245.74709719185,18.25,-66.5,12815.688677400347,19.062174028359152,567.7689096135109,0.5263095833333333,75.14918094693928
178,Qatar,2881060,2165135,715925,183466208791.0,64781.0,25.269535,51.212767,11610.0,5.8,1649.186157,0.615,80.1
179,Republic of the Congo,5518092,2756678,2761414,10820591130.0,2011.0,-0.75,15.383331,342000.0,36.2,49.983723,0.42,64.29
180,Romania,19414458,9500450,9914008,241475766400.0,12390.0,46.0,25.0,238400.0,6.1,555.104736,0.601,75.3
181,Russia,145934460,67640299,78294161,1699876578871.0,11584.0,66.416667,94.25,17098250.0,6.1,585.87323,0.729,72.657317
182,Rwanda,12952209,6367431,6584778,10122472590.0,801.0,-1.940278,29.873889,26340.0,27.0,49.204456,0.374,68.7
183,Réunion,895308,433301,462007,45640076492.96735,4307.526954364317,-21.114444,55.5325,289573.3397933451,37.26906588779489,220.94694536552853,0.45646510987070427,64.59113733154507
184,Saint Helena,6071,1361,1216,57517504821.90159,2338.841904761905,-15.95,-5.716667,360307.4482962963,49.973777777777784,104.05311378857142,0.3881656804733727,61.64107936507936
185,Saint Kitts and Nevis,53192,30289,30759,10959621583.012014,18045.716370367893,17.271667,-62.666669,7799.810998115927,15.313255824157476,603.1971503669379,0.5581347395833334,75.57480703279788
186,Saint Lucia,183629,90422,93207,11660703546.345425,17772.85703273761,13.883333,-60.966667,7790.085819496966,15.532569808449656,622.9556825787399,0.5677670081018518,75.73940943852178
187,Saint Vincent and the Grenadines,110947,56218,54729,12342007326.15581,18212.989677933154,12.9,-61.233333,8268.091540796764,15.581229024484243,635.4854414694123,0.5677670081018518,75.71823673442324
188,Samoa,198410,102703,95707,29903249841.83544,6283.959140849585,-13.745,-172.2175,50146.93590489352,21.178935194547385,511.1208336549511,0.520022230124373,71.93745852738253
189,San Marino,33938,15936,17019,399191792931.943,33987.5325933355,43.933333,12.466667,78024.69005432098,3.2980071851225694,2709.128442117149,0.7377889471639473,80.2759573133277
190,Saudi Arabia,34813867,20131308,14682559,792966838161.0,23139.0,23.716667,44.116667,2149690.0,6.0,1093.405518,0.585,74.998
191,Senegal,16743930,8170785,8573145,23578084052.0,1446.0,14.366667,-14.283333,196710.0,31.8,55.014038,0.418,67.665
192,Serbia,6963764,3392811,3570953,51409167350.0,7402.0,43.95,20.933333,88360.0,4.8,528.545166,0.755,75.9
193,Seychelles,98340,50439,47901,1698843062.0,17401.0,-7.1,52.766667,460.0,12.4,791.656677,0.678,72.841463
194,Sierra Leone,7976985,3981239,3995746,3941474310.0,504.0,8.5,-12.1,72300.0,78.5,66.402184,0.351,54.309
195,Singapore,5850343,3062257,2788086,372062527488.0,65233.0,1.3,103.8,719.0,2.3,2618.712402,0.884,83.146341
196,Sint Maarten,42882,15212,15660,13171300443.691532,19121.542304727795,18.031944,-63.067778,9305.676888676571,15.846106182395273,616.9138556296373,0.5598860611321549,76.05639791318073
197,Slovakia,5450421,2661077,2789344,105870732800.0,19470.0,49.0,20.0,49030.0,4.6,1186.136353,0.694,77.4
198,Slovenia,2080908,1038656,1042252,53990687600.0,26078.0,46.0,15.0,20675.0,1.7,1920.28186,0.788,81.5
199,Solomon Islands,686878,349262,337616,1425074225.0,2127.0,-9.466667,159.816667,28900.0,17.1,101.239868,0.443,72.835
200,Somalia,15893219,7924087,7969132,110572635170.1699,6840.993237531699,6.0,47.0,681546.4417777777,35.499348148148144,300.87575374016035,0.45781868131868125,66.86972378074076
201,South Africa,59308690,29216012,30092678,351431649241.0,6001.0,-29.0,24.0,1219090.0,28.5,499.237549,0.406,63.857
202,South Georgia and the South Sandwich Islands,30,15,15,310995412456.31067,8539.788740783028,-54.25,-36.75,1407484.5627851852,23.261423211708927,776.4351101206431,0.5233761597163521,70.49200229694908
203,South Korea,51269183,25665854,25603329,1642383217167.0,31761.0,36.0,128.0,100339.0,2.7,2283.074707,0.845,82.626829
204,South Sudan,11193729,5603014,5590715,11997800760.0,1119.0,7.0,30.0,619745.0,63.7,22.888573,0.302,57.604
205,Spain,46937060,23009259,23927801,1418587740000.0,30326.0,40.2,-3.5,505935.0,2.5,2506.464844,0.743,83.5
206,Sri Lanka,21413250,10267351,11145899,84008783756.0,3853.0,7.0,81.0,65610.0,6.4,159.484741,0.584,76.812
207,Sudan,43849269,21907295,21941974,18902284475.0,441.0,15.0,32.0,1886068.0,42.1,193.793045,0.379,65.095
208,Suriname,586634,294822,291812,12355755072.377396,15713.561450984353,4.0,-56.0,104777.55142268197,16.855452641597402,568.9863705805183,0.5660182513503087,74.35562693440303
209,Svalbard and Jan Mayen,3122,1731,1391,620277323076.5724,45986.6241924742,78.635166,21.993908,1405151.206842026,2.99239332096475,3930.3045911861777,0.7594608688930118,79.68625946239317
210,Swaziland,1160164,570236,589928,4405405802.0,3837.0,-26.483333,31.433333,17360.0,43.0,224.736771,0.409,59.401
211,Sweden,10230185,5142438,5087747,556025322000.0,54634.0,61.0,15.0,447430.0,2.2,5904.583984,0.8,82.6
212,Switzerland,8544527,4237121,4307406,703082435360.0,81993.0,46.798562,8.231973,41290.0,3.7,9956.259766,0.767,83.8
213,Syria,17500657,8760065,8740592,253762322423.92856,15797.714285714286,35.216667,38.583333,452074.6,9.92,955.6016721428571,0.607,76.38282926666668
214,São Tomé and Príncipe,219161,109675,109486,62148778095.2637,2060.9724444444446,0.316667,6.6,613516.106074074,49.355081481481484,73.12088470933332,0.3844395604395604,61.60031851851853
215,Taiwan,23816775,11834313,11982462,2059693573004.4265,13270.020894177502,24.0,121.0,1136248.2135981827,17.79761979555695,766.6943222929764,0.6213838079318031,74.4923186209077
216,Tajikistan,9537642,4805738,4731904,8116626794.0,870.0,38.583333,71.366667,141380.0,30.4,57.899853,0.533,70.879
217,Tanzania,59734213,29851108,29883105,63177068174.0,1122.0,-6.307,34.854,947300.0,37.6,33.916576,0.4,65.015
218,Thailand,69799978,33966060,35833918,543649976165.0,7808.0,14.0,101.0,513120.0,7.8,247.03511,0.604,76.931
219,Togo,8278736,4119404,4159332,5459979416.0,675.0,8.25,1.183333,56790.0,47.4,38.048714,0.413,60.76
220,Tokelau,1350,634,683,24630960156.904568,6001.160390027757,-9.166667,-171.833333,19547.929857665968,22.373001714108412,482.51700862723516,0.515204756116899,71.49105341188272
221,Tonga,105697,52904,52793,450353313.0,4364.0,-20.587778,-174.810278,750.0,13.4,222.015488,0.512,70.801
222,Trinidad and Tobago,1399491,690947,708544,24100202833.0,17276.0,10.666667,-61.516667,5130.0,16.4,1124.091675,0.613,73.38
223,Tunisia,11818618,5860752,5957866,38797709923.0,3317.0,34.0,10.0,163610.0,14.6,250.562225,0.508,76.505
224,Turkey,82003882,41139980,40863902,754411708202.0,9042.0,39.0,36.0,785350.0,9.1,444.653687,0.626,78.9
225,Turkmenistan,6031187,2969310,3061877,156795447739.66193,14524.647619047619,39.0,60.0,552224.9733333333,20.581333333333337,577.5375390761905,0.5652307692307692,72.88865528444444
226,Turks and Caicos Islands,38718,23158,22841,24885193591.501286,17008.066110651373,21.78,-71.8,25035.63675349222,19.96368387061053,483.7338604940827,0.5167564293104657,74.6988914647889
227,Tuvalu,11792,6057,6178,31194879357.16101,5687.055243189786,-7.475,178.005556,56323.98161252095,22.196981124917265,455.5301261411898,0.5075695242550344,71.4604899766205
228,Uganda,45741000,22546589,23194411,34387229486.0,776.0,1.28,32.39,241550.0,33.8,38.426441,0.382,62.973
229,Ukraine,43733759,20263148,23470611,153781069118.0,3659.0,49.0,32.0,603550.0,7.5,177.40889,0.647,71.582683
230,United Arab Emirates,9890400,6836349,3054051,421142267937.0,43103.0,24.4,54.3,83600.0,6.5,1357.017456,0.659,77.814
231,United Kingdom,66647112,32901036,33746076,2860009176200.0,43070.0,54.6,-2.0,243610.0,3.6,3858.674316,0.781,81.3
232,United States Minor Outlying Islands,190,95,95,648584341529.1724,10268.556932788171,19.3,166.633333,130472.42384004153,22.80592028870256,810.3388723989879,0.541186958861089,72.0640937277316
233,United States Virgin Islands,104423,49601,54822,18660652255.481167,18568.23786028335,18.333333,-64.833333,13112.851594835256,16.432160604163982,598.5917352464174,0.5498027277988214,75.79349896678671
234,United States of America,331002647,163786016,167216631,21374418877706.0,65118.0,39.828175,-98.5795,9831510.0,5.6,10246.138672,0.762,78.539024
235,Uruguay,3473727,1678336,1795391,56045912952.0,16190.0,-33.0,-56.0,176220.0,6.4,1591.533203,0.6,77.77
236,Uzbekistan,33469199,16696918,16772280,149656338610.5108,14046.776507936507,41.0,66.0,536173.6648888888,20.45208888888889,525.0954433384127,0.5568736263736264,72.81604368562962
237,Vanuatu,307150,155690,151460,917058850.0,3058.0,-16.633331,168.016669,12190.0,22.3,105.666527,0.471,70.323
238,Vatican City,809,6788,4208,416289630062.9224,33621.54865769462,41.904,12.453,76878.84272460904,3.7011615444994566,2777.624635508634,0.7309020424020425,80.35916942911486
239,Venezuela,28435943,13984932,14451011,37184442704.1494,15954.762746355646,8.0,-67.0,173310.5684002402,17.237974767619527,564.2731282356616,0.5602537392526455,74.62022045656622
240,Vietnam,97338583,48598254,48740329,261921244843.0,2715.0,16.0,108.0,331230.0,16.5,129.575958,0.666,75.317
241,Wallis and Futuna,11246,5623,5623,31980361409.112114,6036.702321000043,-14.30181,-178.10932,58851.51700825279,21.735440285575944,469.6901775139041,0.5091463561624641,71.75217533596222
242,Western Sahara,597330,312260,285070,207244822738.54813,8487.778597932678,25.0,-13.0,512797.9300740741,37.76625218658892,585.185859192624,0.4685090266875981,68.07135339380196
243,Yemen,29825968,15024985,14800983,27591261663.0,968.0,15.5,48.0,527970.0,42.9,72.039467,0.369,66.096
244,Zambia,18383956,9103006,9280950,23064722446.0,1291.0,-14.0,28.0,752610.0,40.4,67.648666,0.396,63.51
245,Zimbabwe,14862927,7092010,7770917,21440758800.0,1463.0,-19.0,30.0,390760.0,33.9,110.14962,0.441,61.195
